"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.30539842748836,0.651,0.246,0,"0","FCRL2"
0,0.340609739078837,0.752,0.395,0,"0","MEDAG"
0,0.853273765857144,0.755,0.437,0,"0","PPP1R2C"
0,0.523274462916632,0.754,0.452,0,"0","ADGRG1"
0,0.931083013771652,0.725,0.426,0,"0","LINC01235"
0,0.498585390698559,0.814,0.519,0,"0","HP"
0,1.0286439593716,0.936,0.642,0,"0","SCIN"
0,0.442374984036604,0.868,0.575,0,"0","HLA-DQA1"
0,2.0454389817889,0.738,0.452,0,"0","CCL1"
0,1.06933283416357,0.649,0.365,0,"0","AC122108.2"
0,0.225018985214632,0.897,0.617,0,"0","CFD"
0,0.939518565122809,0.931,0.662,0,"0","EGR2"
0,0.923577602889504,0.901,0.634,0,"0","FILIP1L"
0,0.643730458551634,0.911,0.647,0,"0","EGR3"
0,0.905521775319151,0.717,0.453,0,"0","SPRY2"
0,1.57895048094604,0.898,0.638,0,"0","RGS16"
0,0.626443089352262,0.803,0.545,0,"0","RAB20"
0,1.10299499704221,0.807,0.554,0,"0","ARG2"
0,0.63523047247384,0.801,0.549,0,"0","PADI2"
0,0.400411495353022,0.932,0.682,0,"0","HTRA1"
0,0.681650455182889,0.846,0.598,0,"0","NEDD9"
0,0.271911523501611,0.715,0.467,0,"0","KCNJ2"
0,0.925673360026849,0.443,0.196,0,"0","ADAMTS9-AS2"
0,0.954490899033976,0.929,0.691,0,"0","ARID5B"
0,0.650847214181294,0.786,0.549,0,"0","HAMP"
0,0.489678371871257,0.535,0.3,0,"0","FCRLA"
0,0.969860717270919,0.971,0.736,0,"0","OTUD1"
0,1.30392093887226,0.588,0.353,0,"0","PLA1A"
0,0.635828679540679,0.618,0.384,0,"0","CYTL1"
0,0.611187210616072,0.879,0.646,0,"0","NLRP3"
0,0.402939902374387,0.727,0.494,0,"0","CCND1"
0,0.408241606273653,0.884,0.651,0,"0","SPATS2L"
0,0.461197912618325,0.686,0.457,0,"0","CD69"
0,0.601257241111428,0.559,0.33,0,"0","LINC01480"
0,0.562920927914676,0.833,0.604,0,"0","USP53"
0,0.176614744040025,0.948,0.72,0,"0","MS4A4A"
0,0.513258483859361,0.956,0.731,0,"0","IER5"
0,0.513104111647286,0.801,0.58,0,"0","UNC5B"
0,0.471590909552967,0.974,0.753,0,"0","MS4A6A"
0,0.756027536371102,0.864,0.645,0,"0","GRASP"
0,0.195562792327118,0.836,0.618,0,"0","FCGBP"
0,0.269269585893793,0.76,0.543,0,"0","ADGRE5"
0,0.652452261671264,0.678,0.466,0,"0","LINC01268"
0,1.16025158038054,0.897,0.685,0,"0","MYC"
0,0.859984076363093,0.77,0.563,0,"0","PART1"
0,0.159625746703741,0.884,0.679,0,"0","PLTP"
0,1.01267670056482,0.842,0.638,0,"0","AC106028.4"
0,0.396605309727717,0.815,0.611,0,"0","CEBPA"
0,0.97918581822498,0.954,0.754,0,"0","HBEGF"
0,0.758640440118859,0.884,0.684,0,"0","GADD45G"
0,0.408185881687922,0.685,0.486,0,"0","TMEM144"
0,1.14571442015814,0.752,0.553,0,"0","TCHH"
0,0.667306975744206,0.936,0.739,0,"0","NRP2"
0,1.66407799474661,0.881,0.684,0,"0","CCL8"
0,0.507274522721582,0.854,0.658,0,"0","TFRC"
0,1.14771819344883,0.975,0.78,0,"0","TNF"
0,0.310283506530727,0.951,0.756,0,"0","LIPA"
0,1.62094514738207,0.845,0.65,0,"0","TENM2"
0,0.769953820405084,0.666,0.473,0,"0","CXorf21"
0,0.429462040887032,0.822,0.63,0,"0","FSCN1"
0,0.182942334964344,0.663,0.473,0,"0","GRID2"
0,0.682951401900422,0.724,0.536,0,"0","PDGFB"
0,0.321786218803891,0.936,0.749,0,"0","SOCS3"
0,0.594015409282301,0.616,0.429,0,"0","AL136987.1"
0,0.240298237519587,0.467,0.281,0,"0","AC010542.4"
0,1.07337750145447,0.827,0.641,0,"0","RND1"
0,0.422578622041269,0.801,0.617,0,"0","NUDT4"
0,0.137653077511434,0.666,0.483,0,"0","SPRY1"
0,0.161255735983249,0.778,0.595,0,"0","PLK2"
0,0.608636773114641,0.892,0.709,0,"0","PTGER4"
0,0.238373382796339,0.822,0.639,0,"0","SEPT4"
0,0.897065662456462,0.726,0.543,0,"0","TNFRSF11B"
0,0.597572609242708,0.904,0.722,0,"0","CITED2"
0,0.445064560716271,0.959,0.777,0,"0","EIF4A3"
0,0.714645162348861,0.744,0.562,0,"0","EGR4"
0,1.51258181555356,0.888,0.708,0,"0","DNAAF1"
0,0.264822155138313,0.598,0.421,0,"0","HOXB2"
0,0.112801789178991,0.889,0.713,0,"0","ATP2B1-AS1"
0,0.139454159653399,0.616,0.44,0,"0","CHD7"
0,0.260931267781455,0.693,0.517,0,"0","GABPB1-AS1"
0,0.480723343271169,0.611,0.437,0,"0","VMO1"
0,0.337301076471462,0.387,0.214,0,"0","AC104024.1"
0,0.118471996852221,0.648,0.476,0,"0","GBP1"
0,0.536992440585801,0.977,0.805,0,"0","A2M"
0,0.725873154393723,0.954,0.783,0,"0","GPR183"
0,0.257125995658264,0.955,0.784,0,"0","NFKBIZ"
0,0.543490676758064,0.435,0.266,0,"0","AC019129.2"
0,0.151627766054758,0.626,0.457,0,"0","FDX1"
0,0.742950705354406,0.957,0.788,0,"0","GBP2"
0,0.78364861260222,0.992,0.824,0,"0","RGS1"
0,0.66094398283143,0.933,0.767,0,"0","PMAIP1"
0,0.254826979297513,0.739,0.573,0,"0","CADM1"
0,0.811814372041337,0.956,0.79,0,"0","PLAU"
0,0.47423636408886,0.941,0.775,0,"0","ICAM1"
0,0.679886551026722,0.95,0.785,0,"0","PTGS2"
0,0.472205117219244,0.688,0.523,0,"0","AL359220.1"
0,0.10446419135776,0.922,0.758,0,"0","PTMS"
0,1.19043394977208,0.922,0.759,0,"0","IL1A"
0,0.477336933582586,0.708,0.545,0,"0","HIST1H2BJ"
0,0.109519020183209,0.685,0.523,0,"0","CPXM1"
0,0.158989689099995,0.707,0.546,0,"0","PMEPA1"
0,0.172264874260081,0.956,0.796,0,"0","C5AR1"
0,0.226228440164084,0.893,0.734,0,"0","RANBP2"
0,0.298613291293385,0.611,0.452,0,"0","CH25H"
0,0.550175117034249,0.951,0.793,0,"0","NFIL3"
0,0.926504964904735,0.955,0.798,0,"0","LPL"
0,0.880221546246252,0.968,0.811,0,"0","MAFF"
0,0.292357415756458,0.985,0.83,0,"0","IER2"
0,0.37556045254351,0.728,0.573,0,"0","TAGAP"
0,0.109794837291866,0.957,0.802,0,"0","VMP1"
0,0.854472458085503,0.972,0.818,0,"0","NR4A1"
0,1.18084731153543,0.884,0.73,0,"0","TNFAIP8L3"
0,0.473381067490338,0.858,0.704,0,"0","MYO1E"
0,1.04848589403089,0.723,0.57,0,"0","CSF1"
0,0.805004314144606,0.78,0.627,0,"0","PIF1"
0,0.343550302330047,0.573,0.421,0,"0","PLPP1"
0,0.144270761822685,0.87,0.72,0,"0","METRNL"
0,0.75077794733012,0.989,0.839,0,"0","NR4A2"
0,0.226348550758237,0.623,0.473,0,"0","TMEM255B"
0,0.842925340579078,0.49,0.34,0,"0","DACT1"
0,0.792127590025356,0.979,0.83,0,"0","GLDN"
0,0.577222514175835,0.977,0.829,0,"0","ID2"
0,0.26724736810069,0.78,0.632,0,"0","RNASE2"
0,1.08577837872536,0.64,0.493,0,"0","ZCCHC12"
0,0.917951843994333,0.456,0.309,0,"0","SHANK2"
0,0.492541475056006,0.588,0.441,0,"0","MYOZ2"
0,0.328718284761854,0.956,0.809,0,"0","DBI"
0,1.3154740655114,0.953,0.808,0,"0","RCAN1"
0,0.79737938870073,0.554,0.41,0,"0","DMP1"
0,0.527639246919086,0.925,0.781,0,"0","EIF4E"
0,0.134663741501083,0.978,0.834,0,"0","BASP1"
0,1.04206644910314,0.981,0.838,0,"0","NR4A3"
0,0.702479338769097,0.981,0.838,0,"0","CPM"
0,0.255262543803813,0.886,0.743,0,"0","SLC5A3"
0,0.182132574550153,0.811,0.668,0,"0","STX4"
0,0.268203863910944,0.854,0.712,0,"0","SLC16A1"
0,0.331210875726596,0.895,0.753,0,"0","PDK4"
0,0.8863908975462,0.983,0.841,0,"0","ABL2"
0,0.319380106397335,0.982,0.841,0,"0","MAFB"
0,1.01240106247594,0.851,0.711,0,"0","INHBA"
0,0.102507082770201,0.649,0.509,0,"0","LINC02029"
0,0.61230041995714,0.992,0.853,0,"0","CD14"
0,1.58449300709049,0.983,0.845,0,"0","CCL2"
0,0.428502384935082,0.503,0.366,0,"0","AL590705.1"
0,0.806824100200353,0.98,0.843,0,"0","KLF2"
0,0.182329938787488,0.981,0.844,0,"0","HSPA8"
0,0.106416128901575,0.973,0.838,0,"0","EGR1"
0,0.804486626101823,0.944,0.809,0,"0","IL1RN"
0,0.54394358144409,0.983,0.851,0,"0","PLEK"
0,0.17188669926349,0.977,0.845,0,"0","BCL2A1"
0,1.13859577086369,0.913,0.782,0,"0","CCL5"
0,0.987782060785114,0.991,0.86,0,"0","RHOB"
0,1.04782648491181,0.818,0.687,0,"0","TNFSF9"
0,0.46926412617476,0.647,0.517,0,"0","RAMP1"
0,0.994008646195523,0.861,0.731,0,"0","NPHS1"
0,1.40870953381508,0.356,0.228,0,"0","AC010319.3"
0,0.380679357183324,0.941,0.814,0,"0","ANKH"
0,0.948031426302917,0.972,0.846,0,"0","SERPINE1"
0,0.222081259616793,0.687,0.561,0,"0","TAF9"
0,0.594633934180027,0.856,0.731,0,"0","CHRNA1"
0,0.285276478540999,0.872,0.748,0,"0","EMP2"
0,0.226529602822756,0.99,0.866,0,"0","JUNB"
0,0.338029552586948,0.833,0.71,0,"0","TWISTNB"
0,1.07970744597186,0.884,0.761,0,"0","RAB7B"
0,0.615424791770945,0.838,0.716,0,"0","TMEM88"
0,0.350786315275077,0.955,0.834,0,"0","CD9"
0,0.322798189846675,0.65,0.529,0,"0","AL118516.1"
0,0.2200202615858,0.497,0.378,0,"0","KCTD16"
0,0.48623422363361,0.942,0.824,0,"0","RASGRP3"
0,0.393278289876096,0.803,0.686,0,"0","CKS2"
0,0.521867980493639,0.667,0.55,0,"0","BAMBI"
0,0.273839593668908,0.867,0.751,0,"0","ZNF331"
0,0.307085492501053,0.976,0.861,0,"0","ATP1B3"
0,0.537659674538794,0.995,0.88,0,"0","ZFP36"
0,0.438078524658208,0.523,0.409,0,"0","CLDN1"
0,0.219737250800451,0.917,0.804,0,"0","KLF4"
